Ngày,ABS,ABT,ACB,ACC,ADG,ADS,AGG,AGM,APH,ASG,ASM,AST,AAM,BBC,BCG,BCM,BCF,BHN,BIC,BID,BMC,BMI,BMP,BSI,BVH,C32,C47,CAV,CCI,CCL,CDC,CII,CLC,CLL,CMG,CRC,CTD,CTI,DAG,DBD,DC4,DCM,DGW,DHA,DHC,DHG,DIG,DMC,DPM,DQC,HAG,HAH,HBC,HCM,HDC,HHS,HNG,HPG,HQC,HSG
09-12-2021,24.20,37,33.30,25.80,49.65,35.30,44.80,36.90,37.30,29.10,20.25,54,12.60,64.10,25.70,53.20,39,60.20,29.50,34.82,26,41.20,58.70,43,57.80,31.60,24,59.10,24.45,17.30,16.30,26.75,37.80,34,61,10.80,87.20,21.20,15.15,55,22.40,37.15,130.40,52.30,90,126.40,69.40,54.30,49,28.20,10.20,69.20,25.70,44.50,104.50,11.50,9.81,47.10,6.73,35.45
08-12-2021,22.90,37.50,33.10,25.35,50,35.60,44.15,37.75,36.35,29.30,19.65,55,12.40,64.10,24.85,49.73,39.40,59.50,28.85,34.82,27,41.30,58,42.10,57.70,31.30,23.45,59.00,24.50,16.80,16.40,25.70,37.80,33.25,60.70,11,81.50,20.80,15,55.20,22.10,36.70,126.10,52.30,88.50,124,68.30,54,47.80,26.40,9.87,67,25.10,44,104,11.30,9.17,47.20,6.66,35.50
07-12-2021,23.60,37,32.95,25.35,48.75,36,44.05,36,35.80,29.30,19.75,53.40,12.20,64.10,23.80,49.53,39.40,61.50,29.50,34.51,27,41.20,57.50,41.65,58.40,31.65,23.30,59.20,23.80,16.90,16.50,26,37.70,33.50,60.80,11.20,77,21.05,15.70,56,22.10,36.20,129.20,52,88.50,122,68,55,47.30,26.40,9.23,67.80,24.70,43.95,103.20,11.10,8.77,47.60,6.66,36.10
06-12-2021,23.35,35.50,32.30,25.30,48,35.25,43,37,34.45,29.10,18.90,52.40,12.40,64.50,23.20,48.64,39.20,59.70,28.60,33.20,27.10,40.95,56,41.15,57.50,29.60,23.50,59.20,24.15,16.15,16.80,25.20,37.80,33.45,60.10,11.35,76,20.40,14.75,56,21.80,35.20,121,50.20,88.10,118.50,64.40,53.50,45.25,25.65,8.63,65.90,23.10,42.20,96.50,10.40,8.40,45.75,6.31,34.90
03-12-2021,25.10,33.65,32.55,25.50,47.50,35.65,44.30,36.50,37,29.70,20.30,53.90,12.40,69.20,23.13,48.93,39.20,60.80,29,33.24,27.35,44,58,44.20,57.80,31.65,23.30,59.69,25.50,16.95,16.40,27,37.85,34.10,60.90,12.20,77,21.80,15.85,57,22.75,37.50,123.60,52.20,91.30,116.70,65,53,47.80,26.20,8.80,68.60,24,44.00,103.50,11.15,8.60,47.70,6.70,37.50
02-12-2021,26.20,35.50,33.20,26.20,47.05,35.95,44.75,36.20,38.70,29.70,21.80,55,12.80,66.50,24.18,52.61,39.30,61.10,29.55,34.98,28.85,45.25,58.70,47.50,60.60,32.80,22.65,61.66,24.30,17.70,16.80,28.65,37.90,34.30,62.40,12.90,77.90,23.30,17,57,23,39.10,128,53.20,92.60,109.10,68.30,54.50,49.75,26.40,8.80,70.30,25.60,47.16,97.90,11.95,9,48.60,6.87,39.40
01-12-2021,26.45,36,33.50,26.30,47.15,35.85,44.35,36.60,38.40,29.90,21.35,52.90,12.65,66.50,24.34,54.19,39.30,61.90,30,35.06,27,45.30,59.40,48.30,61.10,32.80,21.20,59.00,24.20,17.15,17.10,28.90,37.90,34.30,62.50,12.30,80,23.35,17.65,56.50,23,40.25,130,53.70,93,102,65.40,54.80,52.20,26.20,8.70,70.40,26.90,47.71,91.50,12,8.89,49,6.65,39.30
30-11-2021,26.50,36.10,33.30,25.95,48.15,35.65,44.05,36.40,39.70,29.50,21.45,53.10,13,64.30,22.77,53.30,39.30,61.90,30.80,35.14,27,45.10,60,49.50,61,33.35,21.40,59.00,24.65,17.60,17,29.70,37.55,34.40,62,12.50,80,23.65,18.10,57.20,23.10,38,129,53.80,93.30,103,68.50,55.90,50.40,26.30,8.23,71.90,26.95,48.45,91,12.25,8.82,48.95,6.48,39.55
29-11-2021,26.05,35.80,34.15,26,50,36,43.70,36,40.30,29.40,21.60,53.10,13.45,64.10,22.01,52.70,39.30,61.70,29.40,35.22,26.80,45.10,59.10,49.95,62,33.10,21.25,58.12,25.40,17.50,16.90,29.55,37.50,34.50,63.80,12.40,74.80,23.10,17,57.40,23.40,37.60,135.90,53.80,93.10,103.90,70.10,56,48.90,26.20,7.69,72.40,26,48.65,90.20,11.95,8.70,48.40,6.40,38.90
26-11-2021,26.80,35.60,34.60,25.10,49.20,36.60,43.75,35.75,40.45,30.30,21.30,54.50,13.50,63.60,21.88,53.60,39.30,61.90,29.80,35.97,26.80,44.65,60,48.70,62.20,33.70,19.90,58.12,25,16.95,16.80,27.65,38.10,34.65,65.50,12.60,74,21.60,17,55.20,23.40,38.10,134.50,54.30,93,99.50,69.90,53.30,50.30,25.60,7.20,69,25.15,48.15,91.50,11.60,8.25,49.05,6.11,39.75
25-11-2021,26.75,35.50,35.15,25.70,47.60,36.45,44.20,35.90,40.75,30,22,54,12.80,63.70,22.49,54.29,39.30,62,30,35.89,27.20,45.45,60.50,49.75,63.10,33.75,18.70,58.31,23.95,16.65,16.80,28,38,34.60,68.50,12.40,75.20,21.70,17.50,55.70,23.30,36.95,136.40,53.90,94.50,99.60,67.50,52.50,49,26.20,7.50,68.50,25.60,47.16,93.40,11.75,8.35,49.25,6.29,39
24-11-2021,25,35,35.35,25,45.60,34.10,43.70,35.90,40.95,29.80,22,53.40,13.10,63.70,22.49,53.70,39.30,62.30,30,36.45,27,44.95,59.10,46.50,62.80,34,18.35,58.02,24.30,16,16.30,26.85,38.50,34.30,68.30,12.90,72.70,21.25,17.50,56.30,21.80,36.30,137.30,53.80,94,101,63.10,53.80,48.50,25.90,7.06,69,25.65,46.77,93.10,11,8.27,48.65,6.14,37.95
23-11-2021,26.50,34,33.95,24.50,46.05,34.60,44.60,35.90,40.70,29.30,22.50,54,13,63.70,22.13,54.59,39.30,62.30,30.20,35.38,27.45,44.50,59.70,48.40,62.40,34.25,18.30,58.81,24,16.70,17.20,27.25,38.50,34.15,66.40,12.90,68,21.30,16.40,53.90,21.60,37,134.50,52.30,93.20,98.70,61,53.80,49.30,25.40,7.15,69.30,24.20,45.98,95.90,11,8.27,49.55,6.10,39.10
22-11-2021,26.25,35,34.15,23.90,46.30,34.10,45.50,36.20,40.60,30.40,21.40,53.60,12.80,63.70,21.60,53.50,39,62.50,29.80,36.05,27.45,44.10,58.50,48.50,60.20,32.10,17.70,58.81,23.85,16.75,16.70,27.50,38.35,34.15,66.90,12.80,68.50,21.30,15.35,53.50,23.20,35,140,52,93,98.50,65.10,54,46.50,25.90,7.45,67.50,22.65,44.49,93,11.25,8.37,48.65,6.42,38.40
